page,position_page,brand,model,year,price,mileage,gearbox,region,listing_url
1,1,peugeot,,2008.0,1800000,120000,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-908
1,2,citroen,c5,2008.0,2700000,130000,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c5-dakar-dakar-4273
1,3,toyota,corolla,2004.0,2700000,28752,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-corolla-dakar-dakar-2190
1,4,nissan,qashqai,2014.0,7800000,63000,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-qashqai-dakar-dakar-3432
1,5,renault,scenic,2009.0,1300000,160000,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2451
1,6,peugeot,,2012.0,3800000,142000,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-1989
1,7,hyundai,tucson,2008.0,3400000,140000,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-2806
1,8,citroen,c3,,1800000,220000,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-304
1,9,renault,megane,2008.0,1600000,160000,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1132
1,10,ford,escape,2006.0,4500000,120000,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3415
1,11,volkswagen,passat,2007.0,2900000,265000,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-3470
1,12,opel,astra,2003.0,2500000,160000,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-opel-astra-dakar-dakar-1153
1,13,ford,focus,2014.0,4500000,115000,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-focus-dakar-dakar-3026
1,14,peugeot,,2003.0,2600000,160000,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1152
1,15,ford,edge,2008.0,7000000,125000,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-899
1,16,ford,taurus,2006.0,3800000,200000,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-taurus-dakar-dakar-3404
1,17,renault,scenic,2005.0,2200000,140000,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2610
1,18,nissan,altima,2012.0,3000000,130000,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-altima-dakar-dakar-3589
1,19,hyundai,sonata,2011.0,3500000,66000,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-sonata-dakar-dakar-2221
1,20,peugeot,,2008.0,3200000,140000,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3463
